Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
APLT,9.84,121500,2021-12-23,+4.13%,257965000,0,-56.58%
APOG,47.15,71900,2021-12-23,-1.30%,1194545000,21.62,+44.32%
APPF,127.41,61800,2021-12-23,+1.81%,4417049000,2085.83,-30.16%
APPH,4.55,754800,2021-12-23,+0.44%,458176000,0,-69.97%
APPN,71.98,329100,2021-12-23,+1.24%,5123752000,0,-54.24%
APPS,62.16,2122700,2021-12-23,+1.40%,6006272000,53.77,+9.32%
APR,32.65,182700,2021-12-23,+3.59%,1158161000,0,N/A
APTS,16.47,480900,2021-12-23,-2.20%,872021000,14.39,+121.07%
APYX,13.11,35400,2021-12-23,+1.16%,450250000,0,+83.10%
AQB,2.24,1046400,2021-12-23,-0.88%,159098000,0,-78.06%
AQUA,45.83,331800,2021-12-23,+0.11%,5526502000,80.32,+71.26%
AR,18.06,3149500,2021-12-23,-0.28%,5669576000,20.82,+209.78%
ARAY,4.89,365800,2021-12-23,-1.81%,444594000,166,+11.14%
ARCB,111.64,436100,2021-12-23,+3.40%,2854412000,16.51,+156.23%
ARCH,89.06,644100,2021-12-23,-1.97%,1364042000,22.1,+110.79%
ARCT,39.94,930400,2021-12-23,-6.35%,1052858000,0,-60.71%
ARDX,1.18,9148400,2021-12-23,+5.36%,133037000,0,-31.99%
ARGO,55.75,130600,2021-12-23,+0.72%,1944170000,22.78,+29.35%
ARI,13.46,644200,2021-12-23,+0.60%,1882973000,9.63,+17.15%
ARKO,8.52,263000,2021-12-23,+0.24%,1060127000,53.13,-8.88%
ARLO,10.21,1182400,2021-12-23,0.00%,860693000,0,+24.51%
ARNA,91.23,1137600,2021-12-23,+0.55%,5571781000,0,+17.93%
ARNC,33.84,1520200,2021-12-23,+0.77%,3603520000,37.73,+18.03%
AROC,7.53,422700,2021-12-23,-0.26%,1159997000,24.35,-14.63%
AROW,35.23,13900,2021-12-23,-0.14%,564490000,10.87,+16.39%
ARQT,20.1,337100,2021-12-23,+8.41%,1010929000,0,-28.60%
ARR,9.84,1037100,2021-12-23,+1.34%,882540000,9.61,-9.39%
ARRY,16.43,3128800,2021-12-23,+1.86%,2218494000,100.81,-63.57%
ARTNA,46.81,8300,2021-12-23,+0.73%,440308000,25.82,+26.41%
ARVN,81.25,381300,2021-12-23,+3.73%,4295850000,0,+1.89%
ARWR,70.25,515900,2021-12-23,+0.62%,7324195000,0,-17.71%
ASAN,77.9,3206600,2021-12-23,-1.80%,14522820000,0,+159.58%
ASB,22.46,729400,2021-12-23,+1.13%,3370662000,10.58,+31.50%
ASGN,120.9,184100,2021-12-23,+0.94%,6298889000,22.35,+43.65%
ASIX,45.15,101900,2021-12-23,+1.78%,1270159000,8.94,+130.01%
ASLE,17.29,82600,2021-12-23,0.00%,777791000,0,+55.77%
ASO,40.13,1754100,2021-12-23,-0.42%,3552910000,5.7,+105.48%
ASPN,50.79,120400,2021-12-23,-3.42%,1680082000,0,+197.54%
ASTE,69.31,46300,2021-12-23,+0.27%,1577841000,35.27,+19.54%
ASXC,1.14,2748900,2021-12-23,0.00%,267205000,0,+101.34%
ATCX,7.96,68000,2021-12-23,-1.24%,294226000,13.43,+9.12%
ATEC,12.38,638900,2021-12-23,+2.31%,1229247000,0,-12.23%
ATEN,16.26,322600,2021-12-23,+1.75%,1260963000,38.05,+58.94%
ATER,4.53,3550900,2021-12-23,+6.09%,242486000,0,-72.50%
ATEX,60.11,48300,2021-12-23,-0.40%,1103980000,0,+46.29%
ATGE,30.02,373100,2021-12-23,+2.14%,1493945000,10.46,-10.41%
ATHA,13.01,188800,2021-12-23,+3.09%,485937000,0,-62.07%
ATHX,0.9963,2439100,2021-12-23,+3.77%,234365000,0,-47.56%
ATI,15.58,720100,2021-12-23,+0.65%,1982524000,0,-7.15%
ATKR,106.28,207800,2021-12-23,+1.03%,4926291000,8.6,+162.87%
